2025-11-04 06:54:55 status half-configured linux-image-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-04 06:54:55 status unpacked linux-image-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-04 06:54:55 status half-installed linux-image-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-04 06:54:56 status unpacked linux-image-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:54:56 install linux-headers-6.14.0-35:all <none> 6.14.0-35.35
2025-11-04 06:54:56 status half-installed linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-04 06:55:04 status unpacked linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-04 06:55:04 install linux-headers-6.14.0-35-generic:amd64 <none> 6.14.0-35.35
2025-11-04 06:55:04 status half-installed linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:07 status unpacked linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:08 upgrade linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-04 06:55:08 status half-configured linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-04 06:55:08 status unpacked linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-04 06:55:08 status half-installed linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-04 06:55:08 status unpacked linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-04 06:55:08 install linux-tools-6.14.0-35:amd64 <none> 6.14.0-35.35
2025-11-04 06:55:08 status half-installed linux-tools-6.14.0-35:amd64 6.14.0-35.35
2025-11-04 06:55:09 status unpacked linux-tools-6.14.0-35:amd64 6.14.0-35.35
2025-11-04 06:55:09 install linux-tools-6.14.0-35-generic:amd64 <none> 6.14.0-35.35
2025-11-04 06:55:09 status half-installed linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:09 status unpacked linux-tools-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:10 startup packages configure
2025-11-04 06:55:10 configure linux-headers-6.14.0-35:all 6.14.0-35.35 <none>
2025-11-04 06:55:10 status unpacked linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-04 06:55:10 status half-configured linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-04 06:55:10 status installed linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-04 06:55:10 configure linux-tools-6.14.0-35:amd64 6.14.0-35.35 <none>
2025-11-04 06:55:10 status unpacked linux-tools-6.14.0-35:amd64 6.14.0-35.35
2025-11-04 06:55:10 status half-configured linux-tools-6.14.0-35:amd64 6.14.0-35.35
2025-11-04 06:55:10 status installed linux-tools-6.14.0-35:amd64 6.14.0-35.35
2025-11-04 06:55:10 configure linux-modules-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-04 06:55:10 status unpacked linux-modules-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:10 status half-configured linux-modules-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:13 status installed linux-modules-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:13 configure linux-image-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-04 06:55:13 status unpacked linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:13 status half-configured linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:16 status installed linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:17 status triggers-pending linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:17 configure linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-04 06:55:17 status unpacked linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:17 status half-configured linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:21 status installed linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-04 06:55:21 configure linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
