2025-11-24 00:05:42 startup archives unpack
2025-11-24 00:11:41 status installed man-db:amd64 2.13.0-1
2025-11-24 00:11:41 trigproc linux-image-6.14.0-35-generic:amd64 6.14.0-35.35 <none>
2025-11-24 00:11:41 status half-configured linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:12:07 status installed linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:12:11 startup archives unpack
2025-11-24 00:12:11 upgrade libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.3 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4
2025-11-24 00:12:11 status triggers-pending libc-bin:amd64 2.41-6ubuntu1.2
2025-11-24 00:12:11 status half-configured libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.3
2025-11-24 00:12:11 status unpacked libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.3
2025-11-24 00:12:12 status half-installed libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.3
2025-11-24 00:12:13 status unpacked libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4
2025-11-24 00:12:13 startup packages configure
2025-11-24 00:12:13 configure libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4 <none>
2025-11-24 00:12:13 status unpacked libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4
2025-11-24 00:12:13 status half-configured libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4
2025-11-24 00:12:13 status installed libxml2:amd64 2.12.7+dfsg+really2.9.14-0.4ubuntu0.4
2025-11-24 00:12:13 trigproc libc-bin:amd64 2.41-6ubuntu1.2 <none>
2025-11-24 00:12:13 status half-configured libc-bin:amd64 2.41-6ubuntu1.2
2025-11-24 00:12:13 status installed libc-bin:amd64 2.41-6ubuntu1.2
2025-11-24 00:12:17 startup archives unpack
2025-11-24 00:12:17 upgrade xwayland:amd64 2:24.1.6-1ubuntu0.1 2:24.1.6-1ubuntu0.2
2025-11-24 00:12:17 status half-configured xwayland:amd64 2:24.1.6-1ubuntu0.1
2025-11-24 00:12:17 status unpacked xwayland:amd64 2:24.1.6-1ubuntu0.1
2025-11-24 00:12:17 status half-installed xwayland:amd64 2:24.1.6-1ubuntu0.1
2025-11-24 00:12:17 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-11-24 00:12:18 status triggers-pending desktop-file-utils:amd64 0.28-1
2025-11-24 00:12:18 status triggers-pending man-db:amd64 2.13.0-1
2025-11-24 00:12:18 status unpacked xwayland:amd64 2:24.1.6-1ubuntu0.2
2025-11-24 00:12:19 startup packages configure
2025-11-24 00:12:19 configure xwayland:amd64 2:24.1.6-1ubuntu0.2 <none>
2025-11-24 00:12:19 status unpacked xwayland:amd64 2:24.1.6-1ubuntu0.2
2025-11-24 00:12:19 status half-configured xwayland:amd64 2:24.1.6-1ubuntu0.2
2025-11-24 00:12:19 status installed xwayland:amd64 2:24.1.6-1ubuntu0.2
2025-11-24 00:12:19 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2025-11-24 00:12:19 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-11-24 00:12:19 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2025-11-24 00:12:19 trigproc man-db:amd64 2.13.0-1 <none>
2025-11-24 00:12:19 status half-configured man-db:amd64 2.13.0-1
2025-11-24 00:12:21 status installed man-db:amd64 2.13.0-1
2025-11-24 00:12:21 trigproc desktop-file-utils:amd64 0.28-1 <none>
2025-11-24 00:12:21 status half-configured desktop-file-utils:amd64 0.28-1
2025-11-24 00:12:21 status installed desktop-file-utils:amd64 0.28-1
2025-11-24 00:12:25 startup archives unpack
2025-11-24 00:12:25 upgrade amd64-microcode:amd64 3.20250311.1ubuntu0.25.04.1 3.20250708.0ubuntu0.25.04.2
2025-11-24 00:12:25 status half-configured amd64-microcode:amd64 3.20250311.1ubuntu0.25.04.1
2025-11-24 00:12:25 status unpacked amd64-microcode:amd64 3.20250311.1ubuntu0.25.04.1
2025-11-24 00:12:25 status half-installed amd64-microcode:amd64 3.20250311.1ubuntu0.25.04.1
2025-11-24 00:12:26 status unpacked amd64-microcode:amd64 3.20250708.0ubuntu0.25.04.2
2025-11-24 00:12:26 startup packages configure
2025-11-24 00:12:26 configure amd64-microcode:amd64 3.20250708.0ubuntu0.25.04.2 <none>
2025-11-24 00:12:26 status unpacked amd64-microcode:amd64 3.20250708.0ubuntu0.25.04.2
2025-11-24 00:12:26 status half-configured amd64-microcode:amd64 3.20250708.0ubuntu0.25.04.2
2025-11-24 00:12:26 status installed amd64-microcode:amd64 3.20250708.0ubuntu0.25.04.2
2025-11-24 00:12:26 status triggers-pending initramfs-tools:all 0.147ubuntu1
2025-11-24 00:12:27 trigproc initramfs-tools:all 0.147ubuntu1 <none>
2025-11-24 00:12:27 status half-configured initramfs-tools:all 0.147ubuntu1
2025-11-24 00:12:39 status installed initramfs-tools:all 0.147ubuntu1
